"","最長連續未開間距","平均開出間距","至今未開出間距","下期可能開出機率"
"號碼1",28,9,2,0.00623219510637732
"號碼2",27,6,23,0.999999975182182
"號碼3",29,11,7,0.143191534650743
"號碼4",28,9,0,0.00012340980408668
"號碼5",29,10,3,0.0103360506759257
"號碼6",35,11,22,0.998957651483492
"號碼7",29,9,10,0.705988320340512
"號碼8",18,6,6,0.606302782412591
"號碼9",40,11,5,0.0375198141019272
"號碼10",25,8,20,0.999906032096308
"號碼11",30,9,10,0.705988320340512
"號碼12",28,7,9,0.830495937238674
"號碼13",57,11,0,1.67017007902457e-05
"號碼14",22,7,7,0.598713835523037
"號碼15",32,7,0,0.000911881965554516
"號碼16",26,6,7,0.743979760453717
"號碼17",23,7,7,0.598713835523037
"號碼18",23,8,9,0.716624258727011
"號碼19",32,7,15,0.997593419652602
"號碼20",50,11,8,0.231985133167456
"號碼21",23,8,19,0.999747060597908
"號碼22",17,6,0,0.00247875217666636
"號碼23",19,6,0,0.00247875217666636
"號碼24",26,9,4,0.0549636414951049
"號碼25",32,7,1,0.00729505572443613
"號碼26",28,11,20,0.995328923324791
"號碼27",22,8,7,0.452960809486995
"號碼28",18,7,8,0.729091267738082
"號碼29",28,9,28,0.999999906603709
"號碼30",26,8,4,0.0996324004870461
"號碼31",21,8,1,0.00301916365112261
"號碼32",38,7,1,0.00729505572443613
"號碼33",22,6,14,0.998599646166638
"號碼34",25,8,2,0.013753967744003
"號碼35",21,7,20,0.999985504658389
"號碼36",28,8,2,0.013753967744003
"號碼37",17,7,6,0.449711055848699
"號碼38",33,8,4,0.0996324004870461
"號碼39",29,9,28,0.999999906603709
"號碼40",21,9,4,0.0549636414951049
"號碼41",20,6,4,0.285056500316631
"號碼42",27,8,10,0.815885792558546
"號碼43",28,8,3,0.042380111991684
"號碼44",25,8,3,0.042380111991684
"號碼45",39,11,20,0.995328923324791
"號碼46",24,7,7,0.598713835523037
"號碼47",28,10,1,0.000499399227387333
"號碼48",32,12,0,6.14421235332821e-06
"號碼49",45,8,1,0.00301916365112261
