"","最長連續未開間距","平均開出間距","至今未開出間距","下期可能開出機率"
"號碼1",25,7,3,0.0817654162447217
"號碼2",23,7,13,0.98718860719658
"號碼3",41,8,41,1
"號碼4",28,8,8,0.592547341437591
"號碼5",18,7,2,0.0296361638805218
"號碼6",21,7,2,0.0296361638805218
"號碼7",20,5,1,0.0404276819945128
"號碼8",16,6,0,0.00247875217666636
"號碼9",32,11,8,0.231985133167456
"號碼10",29,8,2,0.013753967744003
"號碼11",25,8,16,0.996281978718716
"號碼12",31,8,0,0.000335462627902512
"號碼13",32,9,9,0.587408244331941
"號碼14",30,6,7,0.743979760453717
"號碼15",32,8,0,0.000335462627902512
"號碼16",27,11,4,0.0151046006521784
"號碼17",21,7,14,0.994282797507504
"號碼18",36,9,7,0.323896964312896
"號碼19",28,7,8,0.729091267738082
"號碼20",41,10,2,0.00276939571551158
"號碼21",26,7,3,0.0817654162447217
"號碼22",28,9,17,0.994680428748818
"號碼23",27,8,5,0.191236062079625
"號碼24",21,6,14,0.998599646166638
"號碼25",17,7,10,0.901479205889087
"號碼26",20,9,5,0.115690520841058
"號碼27",21,8,1,0.00301916365112261
"號碼28",20,8,7,0.452960809486995
"號碼29",33,9,18,0.997573597812019
"號碼30",23,7,11,0.946650376848441
"號碼31",31,7,4,0.172991607882071
"號碼32",33,7,4,0.172991607882071
"號碼33",21,9,9,0.587408244331941
"號碼34",25,7,1,0.00729505572443613
"號碼35",21,9,0,0.00012340980408668
"號碼36",21,7,0,0.000911881965554516
"號碼37",20,7,4,0.172991607882071
"號碼38",46,8,3,0.042380111991684
"號碼39",39,10,13,0.864464422619311
