"","最長連續未開間距","平均開出間距","至今未開出間距","下期可能開出機率"
"號碼1",15,5,0,0.00673794699908547
"號碼2",24,7,8,0.729091267738082
"號碼3",35,8,12,0.936202803263438
"號碼4",33,7,7,0.598713835523037
"號碼5",21,6,12,0.991172516482102
"號碼6",16,5,1,0.0404276819945128
"號碼7",18,5,13,0.99930201002086
"號碼8",13,5,3,0.265025915297362
"號碼9",17,7,2,0.0296361638805218
"號碼10",18,7,18,0.99987014856652
"號碼11",18,5,4,0.440493285065212
"號碼12",16,6,0,0.00247875217666636
"號碼13",18,5,2,0.124652019483081
"號碼14",24,5,3,0.265025915297362
"號碼15",24,5,0,0.00673794699908547
"號碼16",26,6,6,0.606302782412591
"號碼17",19,6,16,0.999825122564587
"號碼18",19,6,2,0.061968804416659
"號碼19",32,7,0,0.000911881965554516
"號碼20",20,7,10,0.901479205889087
"號碼21",26,7,5,0.300708276174361
"號碼22",22,7,0,0.000911881965554516
"號碼23",27,7,5,0.300708276174361
"號碼24",19,6,3,0.151203882776648
"號碼25",33,7,9,0.830495937238674
"號碼26",13,5,12,0.997981148372563
"號碼27",30,9,13,0.926149230692088
"號碼28",21,8,2,0.013753967744003
"號碼29",18,7,2,0.0296361638805218
"號碼30",20,6,2,0.061968804416659
"號碼31",17,6,9,0.916075983005124
"號碼32",18,7,0,0.000911881965554516
"號碼33",27,7,5,0.300708276174361
"號碼34",20,6,1,0.0173512652366645
"號碼35",38,7,9,0.830495937238674
"號碼36",25,6,3,0.151203882776648
"號碼37",18,6,1,0.0173512652366645
"號碼38",17,5,4,0.440493285065212
